time,country,kpw,wdi
2008,ARG,1,28.11
2009,ARG,1,34.00
2010,ARG,1,45.00
2011,ARG,1,51.00
2012,ARG,1,55.80
2013,ARG,1,59.90
2014,ARG,1,64.70
2015,ARG,1,68.04
2016,ARG,1,70.97
2017,ARG,1,75.81
2008,ARG,2,7.71
2009,ARG,2,8.61
2010,ARG,2,9.77
2011,ARG,2,10.98
2012,ARG,2,12.23
2013,ARG,2,14.69
2014,ARG,2,15.17
2015,ARG,2,15.79
2016,ARG,2,16.47
2017,ARG,2,17.72
2008,ARG,3,24.13
2009,ARG,3,23.94
2010,ARG,3,24.05
2011,ARG,3,23.34
2012,ARG,3,22.46
2013,ARG,3,22.71
2014,ARG,3,22.85
2015,ARG,3,23.20
2016,ARG,3,23.18
2017,ARG,3,22.01
2008,ARG,4,115.17
2009,ARG,4,128.64
2010,ARG,4,138.47
2011,ARG,4,145.77
2012,ARG,4,152.81
2013,ARG,4,158.35
2014,ARG,4,142.47
2015,ARG,4,142.43
2016,ARG,4,145.32
2017,ARG,4,139.81
2008,AUS,1,71.67
2009,AUS,1,74.25
2010,AUS,1,76.00
2011,AUS,1,79.49
2012,AUS,1,79.00
2013,AUS,1,83.45
2014,AUS,1,84.00
2015,AUS,1,84.56
2016,AUS,1,86.54
2017,AUS,1,86.54
2008,AUS,2,24.90
2009,AUS,2,24.02
2010,AUS,2,24.91
2011,AUS,2,24.70
2012,AUS,2,25.13
2013,AUS,2,25.84
2014,AUS,2,27.84
2015,AUS,2,28.69
2016,AUS,2,30.65
2017,AUS,2,32.40
2008,AUS,3,43.90
2009,AUS,3,49.26
2010,AUS,3,48.03
2011,AUS,3,47.03
2012,AUS,3,45.88
2013,AUS,3,44.71
2014,AUS,3,39.15
2015,AUS,3,35.71
2016,AUS,3,35.15
2017,AUS,3,34.60
2008,AUS,4,103.64
2009,AUS,4,102.12
2010,AUS,4,101.72
2011,AUS,4,105.82
2012,AUS,4,106.64
2013,AUS,4,107.73
2014,AUS,4,106.75
2015,AUS,4,108.28
2016,AUS,4,110.05
2017,AUS,4,112.69
2008,BRA,1,33.83
2009,BRA,1,39.22
2010,BRA,1,40.65
2011,BRA,1,45.69
2012,BRA,1,48.56
2013,BRA,1,51.04
2014,BRA,1,54.55
2015,BRA,1,58.33
2016,BRA,1,60.87
2017,BRA,1,67.47
2008,BRA,2,5.19
2009,BRA,2,6.02
2010,BRA,2,7.17
2011,BRA,2,8.98
2012,BRA,2,9.53
2013,BRA,2,10.55
2014,BRA,2,11.74
2015,BRA,2,12.37
2016,BRA,2,12.89
2017,BRA,2,13.80
2008,BRA,3,21.37
2009,BRA,3,21.29
2010,BRA,3,21.41
2011,BRA,3,21.66
2012,BRA,3,22.09
2013,BRA,3,22.25
2014,BRA,3,21.61
2015,BRA,3,21.21
2016,BRA,3,20.23
2017,BRA,3,19.48
2008,BRA,4,78.06
2009,BRA,4,86.91
2010,BRA,4,100.07
2011,BRA,4,117.95
2012,BRA,4,123.81
2013,BRA,4,133.94
2014,BRA,4,137.47
2015,BRA,4,125.18
2016,BRA,4,117.54
2017,BRA,4,113.00
2008,CAN,1,76.70
2009,CAN,1,80.30
2010,CAN,1,80.30
2011,CAN,1,83.00
